landmark,x,y
319,0.556,0.701
320,0.559,0.707
321,0.562,0.714
322,0.585,0.647
323,0.733,0.581
324,0.563,0.699
325,0.567,0.701
326,0.529,0.591
327,0.561,0.589
328,0.532,0.586
329,0.585,0.504
330,0.618,0.523
331,0.574,0.56
332,0.68,0.257
333,0.666,0.289
334,0.658,0.336
335,0.571,0.729
336,0.56,0.337
337,0.564,0.273
338,0.573,0.217
339,0.656,0.454
340,0.705,0.481
341,0.556,0.441
342,0.687,0.415
343,0.55,0.469
344,0.557,0.547
345,0.718,0.501
346,0.696,0.496
347,0.671,0.503
348,0.627,0.498
349,0.593,0.486
350,0.568,0.473
351,0.524,0.433
352,0.714,0.554
353,0.701,0.414
354,0.512,0.574
355,0.563,0.511
356,0.739,0.462
357,0.549,0.458
358,0.575,0.563
359,0.673,0.432
360,0.558,0.532
361,0.727,0.643
362,0.552,0.432
363,0.54,0.515
364,0.667,0.752
365,0.666,0.787
366,0.733,0.568
367,0.693,0.721
368,0.727,0.404
369,0.577,0.825
370,0.509,0.581
371,0.58,0.532
372,0.714,0.455
373,0.638,0.443
374,0.618,0.444
375,0.574,0.708
376,0.709,0.607
377,0.537,0.862
378,0.605,0.835
379,0.634,0.816
380,0.596,0.442
381,0.575,0.438
382,0.56,0.435
383,0.711,0.412
384,0.576,0.415
385,0.598,0.407
386,0.621,0.406
387,0.642,0.41
388,0.654,0.418
389,0.737,0.398
390,0.65,0.439
391,0.567,0.629
392,0.554,0.568
393,0.529,0.616
394,0.638,0.783
395,0.609,0.805
396,0.538,0.839
397,0.69,0.754
398,0.56,0.425
399,0.537,0.472
400,0.573,0.851
401,0.726,0.625
402,0.537,0.694
403,0.541,0.701
404,0.543,0.709
405,0.545,0.72
406,0.548,0.741
407,0.568,0.698
408,0.572,0.696
409,0.577,0.694
410,0.599,0.671
411,0.681,0.615
412,0.537,0.449
413,0.541,0.41
414,0.552,0.414
415,0.563,0.699
416,0.683,0.68
417,0.528,0.407
418,0.559,0.768
419,0.523,0.457
420,0.551,0.512
421,0.526,0.778
422,0.611,0.73
423,0.59,0.586
424,0.587,0.753
425,0.635,0.585
426,0.607,0.614
427,0.653,0.631
428,0.534,0.81
429,0.563,0.528
430,0.63,0.751
431,0.601,0.776
432,0.629,0.7
433,0.704,0.652
434,0.657,0.705
435,0.715,0.677
436,0.623,0.651
437,0.549,0.491
438,0.55,0.558
439,0.563,0.567
440,0.541,0.539
441,0.562,0.388
442,0.604,0.373
443,0.639,0.372
444,0.667,0.38
445,0.683,0.394
446,0.686,0.44
447,0.737,0.512
448,0.673,0.471
449,0.652,0.477
450,0.622,0.476
451,0.591,0.47
452,0.567,0.46
453,0.55,0.451
454,0.736,0.522
455,0.562,0.575
456,0.537,0.493
457,0.535,0.557
458,0.523,0.571
459,0.535,0.563
460,0.555,0.583
461,0.519,0.572
462,0.516,0.58
463,0.546,0.432
464,0.538,0.436
465,0.536,0.438
466,0.66,0.424
467,0.676,0.414
468,0.386,0.42
469,0.41,0.421
470,0.386,0.399
471,0.363,0.42
472,0.386,0.442
473,0.612,0.425
474,0.637,0.426
475,0.614,0.404
476,0.588,0.424
477,0.611,0.446
